,CountryCode,CountryName,Quarters,Year,value,YQ,date
0,OECD,OECD1,Q1,2022,"300,991",2022-Q1,01/01/2022
1,OECD,OECD1,Q1,2013,"191,233",2013-Q1,01/01/2013
2,OECD,OECD1,Q1,2014,"158,420",2014-Q1,01/01/2014
3,OECD,OECD1,Q1,2015,"422,696",2015-Q1,01/01/2015
4,OECD,OECD1,Q1,2016,"415,437",2016-Q1,01/01/2016
5,OECD,OECD1,Q1,2017,"267,494",2017-Q1,01/01/2017
6,OECD,OECD1,Q1,2018,"124,724",2018-Q1,01/01/2018
7,OECD,OECD1,Q1,2019,"172,416",2019-Q1,01/01/2019
8,OECD,OECD1,Q1,2020,"138,387",2020-Q1,01/01/2020
9,OECD,OECD1,Q1,2021,"239,913",2021-Q1,01/01/2021
10,OECD,OECD1,Q2,2022,"187,482",2022-Q2,01/04/2022
11,OECD,OECD1,Q2,2013,"191,940",2013-Q2,01/04/2013
12,OECD,OECD1,Q2,2014,"176,131",2014-Q2,01/04/2014
13,OECD,OECD1,Q2,2015,"197,281",2015-Q2,01/04/2015
14,OECD,OECD1,Q2,2016,"218,846",2016-Q2,01/04/2016
15,OECD,OECD1,Q2,2017,"322,429",2017-Q2,01/04/2017
16,OECD,OECD1,Q2,2018,"64,159",2018-Q2,01/04/2018
17,OECD,OECD1,Q2,2019,"175,466",2019-Q2,01/04/2019
18,OECD,OECD1,Q2,2020,"137,456",2020-Q2,01/04/2020
19,OECD,OECD1,Q2,2021,"206,088",2021-Q2,01/04/2021
20,OECD,OECD1,Q3,2013,"195,196",2013-Q3,01/07/2013
21,OECD,OECD1,Q3,2014,"167,893",2014-Q3,01/07/2014
22,OECD,OECD1,Q3,2015,"321,720",2015-Q3,01/07/2015
23,OECD,OECD1,Q3,2016,"337,983",2016-Q3,01/07/2016
24,OECD,OECD1,Q3,2017,"247,906",2017-Q3,01/07/2017
25,OECD,OECD1,Q3,2018,"148,073",2018-Q3,01/07/2018
26,OECD,OECD1,Q3,2019,"246,804",2019-Q3,01/07/2019
27,OECD,OECD1,Q3,2020,"22,208",2020-Q3,01/07/2020
28,OECD,OECD1,Q3,2021,"193,539",2021-Q3,01/07/2021
29,OECD,OECD1,Q4,2013,"193,546",2013-Q4,01/10/2013
30,OECD,OECD1,Q4,2014,"252,211",2014-Q4,01/10/2014
31,OECD,OECD1,Q4,2015,"372,899",2015-Q4,01/10/2015
32,OECD,OECD1,Q4,2016,"381,455",2016-Q4,01/10/2016
33,OECD,OECD1,Q4,2017,"132,357",2017-Q4,01/10/2017
34,OECD,OECD1,Q4,2018,"397,956",2018-Q4,01/10/2018
35,OECD,OECD1,Q4,2019,"380,446",2019-Q4,01/10/2019
36,OECD,OECD1,Q4,2020,"150,171",2020-Q4,01/10/2020
37,OECD,OECD1,Q4,2021,"188,956",2021-Q4,01/10/2021
38,AUS,Australia ,Q1,2022,"42,559",2022-Q1,01/01/2022
39,AUS,Australia ,Q1,2021,"2,773",2021-Q1,01/01/2021
40,AUS,Australia ,Q2,2022,"3,376",2022-Q2,01/04/2022
41,AUS,Australia ,Q2,2021,"1,281",2021-Q2,01/04/2021
42,AUS,Australia ,Q3,2021,"5,936",2021-Q3,01/07/2021
43,AUS,Australia ,Q4,2021,"17,526",2021-Q4,01/10/2021
44,AUT,Austria,Q1,2022,"3,059",2022-Q1,01/01/2022
45,AUT,Austria,Q1,2013,"1,260",2013-Q1,01/01/2013
46,AUT,Austria,Q1,2014,"2,033",2014-Q1,01/01/2014
47,AUT,Austria,Q1,2015,612,2015-Q1,01/01/2015
48,AUT,Austria,Q1,2016,"2,974",2016-Q1,01/01/2016
49,AUT,Austria,Q1,2017,"2,623",2017-Q1,01/01/2017
50,AUT,Austria,Q1,2018,"4,781",2018-Q1,01/01/2018
51,AUT,Austria,Q1,2019,"2,697",2019-Q1,01/01/2019
52,AUT,Austria,Q1,2020,"-1,258",2020-Q1,01/01/2020
53,AUT,Austria,Q1,2021,"4,480",2021-Q1,01/01/2021
54,AUT,Austria,Q2,2022,-695,2022-Q2,01/04/2022
55,AUT,Austria,Q2,2013,"-1,262",2013-Q2,01/04/2013
56,AUT,Austria,Q2,2014,341,2014-Q2,01/04/2014
57,AUT,Austria,Q2,2015,"2,483",2015-Q2,01/04/2015
58,AUT,Austria,Q2,2016,"1,486",2016-Q2,01/04/2016
59,AUT,Austria,Q2,2017,101,2017-Q2,01/04/2017
60,AUT,Austria,Q2,2018,229,2018-Q2,01/04/2018
61,AUT,Austria,Q2,2019,"2,240",2019-Q2,01/04/2019
62,AUT,Austria,Q2,2020,"1,521",2020-Q2,01/04/2020
63,AUT,Austria,Q2,2021,"2,375",2021-Q2,01/04/2021
64,AUT,Austria,Q3,2013,"4,637",2013-Q3,01/07/2013
65,AUT,Austria,Q3,2014,"-1,014",2014-Q3,01/07/2014
66,AUT,Austria,Q3,2015,"-1,024",2015-Q3,01/07/2015
67,AUT,Austria,Q3,2016,"-1,191",2016-Q3,01/07/2016
68,AUT,Austria,Q3,2017,"2,455",2017-Q3,01/07/2017
69,AUT,Austria,Q3,2018,"-3,392",2018-Q3,01/07/2018
70,AUT,Austria,Q3,2019,-818,2019-Q3,01/07/2019
71,AUT,Austria,Q3,2020,"-5,192",2020-Q3,01/07/2020
72,AUT,Austria,Q3,2021,"1,398",2021-Q3,01/07/2021
73,AUT,Austria,Q4,2013,"1,179",2013-Q4,01/10/2013
74,AUT,Austria,Q4,2014,"3,439",2014-Q4,01/10/2014
75,AUT,Austria,Q4,2015,-774,2015-Q4,01/10/2015
76,AUT,Austria,Q4,2016,"-11,674",2016-Q4,01/10/2016
77,AUT,Austria,Q4,2017,"9,744",2017-Q4,01/10/2017
78,AUT,Austria,Q4,2018,"3,894",2018-Q4,01/10/2018
79,AUT,Austria,Q4,2019,662,2019-Q4,01/10/2019
80,AUT,Austria,Q4,2020,"-4,348",2020-Q4,01/10/2020
81,AUT,Austria,Q4,2021,"5,277",2021-Q4,01/10/2021
